initiative_id,research_status,evidence_score,consensus_direction,confidence_label,quality_notes,scholarly_sources_reviewed,journalistic_sources_reviewed,last_reviewed,entity_type,theme,technology_position,technology_comparison,testing_intensity,work_based_learning_intensity,outdoor_learning_intensity
mississippi-miracle,scholarly_reviewed,4,positive,medium_high,State-level literacy package has a credible recent evaluation and a clear official implementation source but still bundles several mechanisms rather than isolating one lever.,1,0,2026-05-02,policy_package,literacy_and_accountability,low_tech,mixed_with_high_tech_support,high,none,none
science-of-reading-sor,orientation_complete,2,unclear,medium_low,This is a research and policy movement rather than a single intervention so claims should stay descriptive unless tied to specific state implementations.,0,0,2026-05-02,research_movement,literacy_instruction,mixed,high_tech_vs_low_tech_to_be_split,medium,none,none
common-core-state-standards,scholarly_reviewed,3,mixed,medium,"Bleiberg finds positive initial math effects with meaningful heterogeneity and unequal subgroup benefits, so this should be treated as mixed rather than uniformly successful.",1,0,2026-05-02,policy_package,state_testing_and_standards,mixed,compare_later,high,none,none
gates-millennium-scholars,scholarly_reviewed,4,positive,medium,Open impact report indicates stronger persistence completion and STEM outcomes but the program combines scholarship and support components and is not a randomized design.,1,0,2026-05-02,program,college_access,low_tech,non_tech_support_model,low,low,none
literacy-based-promotion-laws,scholarly_reviewed,3,mixed,medium,Policy family has supportive evidence from Texas and Mississippi-related work but outcomes vary by design and there are known tradeoffs around retention and implementation.,1,0,2026-05-02,policy_package,state_testing_and_promotion,low_tech,mixed_with_assessment_support,high,none,none
no-child-left-behind-annual-testing-accountability,scholarly_reviewed,4,mixed,medium_high,National quasi-experimental evidence shows stronger math gains than reading gains with larger benefits for lower-achieving and disadvantaged students.,1,0,2026-05-02,policy_package,federal_testing_and_accountability,low_tech,low_tech_testing_regime,very_high,none,none
chicago-test-based-promotion-and-accountability-reforms,scholarly_reviewed,4,mixed,high,The Chicago studies provide strong quasi-experimental evidence but also document test-specific gains strategic behavior and uneven benefits across grades and interventions.,2,0,2026-05-02,policy_package,district_testing_and_promotion,low_tech,low_tech_testing_regime,very_high,low,none
florida-a-school-grading-accountability-plan,scholarly_reviewed,3,mixed,medium,Florida A+ shows positive accountability effects especially in math but the mechanism appears tied more to stigma and pressure than to a clean policy channel and test-specific responses remain important.,1,0,2026-05-02,policy_package,state_testing_and_accountability,low_tech,low_tech_testing_regime,very_high,none,none
career-academies,scholarly_reviewed,5,positive,high,MDRC long-run randomized evidence is unusually strong for a secondary career-pathway model and shows earnings gains without academic harm.,1,0,2026-05-02,program,career_and_technical_pathways,low_tech,applied_learning_vs_general_academics,low,high,low
p-tech-9-14,scholarly_reviewed,4,positive,medium_high,MDRC lottery-based evidence is strong on internships dual enrollment and associate degree completion though implementation models vary across sites and states.,1,0,2026-05-02,program,career_and_technical_pathways,mixed,blended_pathway_model,medium,very_high,low
careerwise-colorado-youth-apprenticeship,orientation_complete,2,positive,medium_low,Current open sources document program design and participant pathways better than causal impact so this should remain a promising but lightly evidenced apprenticeship model.,0,0,2026-05-02,program,youth_apprenticeship,mixed,workplace_learning_vs_school_only,low,very_high,low
school-garden-interventions,scholarly_reviewed,3,positive,medium,Randomized and quasi-experimental evidence suggests some academic and science benefits but effects are selective by grade and outcome rather than broad universal gains.,2,0,2026-05-02,program,outdoor_and_experiential_learning,low_tech,low_tech_hands_on_learning,low,low,very_high
school-cellphone-bans-phone-free-school-policies,scholarly_reviewed,3,mixed,medium,Recent Florida evidence shows delayed academic gains and lower absences but also short-run discipline costs and the broader literature remains contested.,1,1,2026-05-02,policy_package,reduced_technology_and_attention,very_low,high_tech_vs_low_tech,medium,none,none
