initiative_id,initiative_name,initiative_type,category,location_scope,first_year,last_year_or_present,research_status,evidence_score,technology_position,testing_intensity,work_based_learning_intensity,outdoor_learning_intensity,primary_source_url
mississippi-miracle,Mississippi Miracle,policy_package,State reform model,state,2013,present,scholarly_reviewed,4,low_tech,high,none,none,https://mdek12.org/literacy/lbpa/
science-of-reading-sor,Science of Reading (SoR),research_movement,Instructional paradigm,national,1970,present,scholarly_reviewed,3,mixed,medium,none,none,https://ies.ed.gov/learn/blog/unpacking-science-reading-dr-tim-shanahan
common-core-state-standards,Common Core State Standards,policy_package,Standards initiative,multi_state,2010,present,scholarly_reviewed,3,mixed,high,none,none,https://www.thecorestandards.org/assets/ccssi-introduction.pdf
gates-millennium-scholars,Gates Millennium Scholars,program,Scholarship program,national,1999,2016,scholarly_reviewed,4,low_tech,low,low,none,https://files.eric.ed.gov/fulltext/ED539716.pdf
literacy-based-promotion-laws,Literacy-Based Promotion Laws,policy_package,Policy category,multi_state,2000,present,scholarly_reviewed,3,low_tech,high,none,none,https://mdek12.org/literacy/lbpa/
no-child-left-behind-annual-testing-accountability,No Child Left Behind annual testing/accountability,policy_package,Federal accountability policy,national,2002,2015,scholarly_reviewed,4,low_tech,very_high,none,none,https://www.govinfo.gov/cgiredirects/getdoc.action?dbname=107_cong_bills&docid=f%3Ah1eh.txt.pdf
chicago-test-based-promotion-and-accountability-reforms,Chicago test-based promotion and accountability reforms,policy_package,District accountability reform,state,1996,2002,scholarly_reviewed,4,low_tech,very_high,low,none,https://www.nber.org/papers/w8968
florida-a-school-grading-accountability-plan,Florida A+ school grading/accountability plan,policy_package,State accountability system,state,1999,present,scholarly_reviewed,3,low_tech,very_high,none,none,https://www.fldoe.org/accountability/accountability-reporting/school-grades/
career-academies,Career Academies,program,College-to-career pathway model,national,1990,present,scholarly_reviewed,5,low_tech,low,high,low,https://www.mdrc.org/work/publications/career-academies-long-term-impacts-work-education-and-transitions-adulthood
p-tech-9-14,P-TECH 9-14,program,Integrated secondary-postsecondary model,multi_state,2011,present,scholarly_reviewed,4,mixed,medium,very_high,low,https://tea.texas.gov/academics/college-career-and-military-prep/career-and-technical-education/appendix-d-ptech-blueprint.pdf
careerwise-colorado-youth-apprenticeship,CareerWise Colorado youth apprenticeship,program,Youth apprenticeship program,state,2017,present,orientation_complete,2,mixed,low,very_high,low,https://www.careerwiseusa.org/research-insights
school-garden-interventions,School garden interventions,program,School-based enrichment intervention,multi_state,2015,present,scholarly_reviewed,3,low_tech,low,low,very_high,https://www.txsprouts.com/evaluation
school-cellphone-bans-phone-free-school-policies,School cellphone bans / phone-free school policies,policy_package,Reduced-tech school policy,multi_state,2023,present,scholarly_reviewed,3,very_low,medium,none,none,https://www.nber.org/papers/w34388
high-dosage-tutoring-engage-every-student,High-dosage tutoring (Engage Every Student),program,Academic recovery initiative,national,2021,present,scholarly_reviewed,4,mixed,medium,low,none,https://www.ed.gov/sites/ed/files/2024/06/High-Dosage-Tutoring.pdf
advancing-ai-in-education,Advancing AI in Education,policy_package,Education technology policy initiative,national,2025,present,orientation_complete,2,high_tech,low,none,none,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities
raise-the-bar-career-pathways,Raise the Bar career pathways,policy_package,Career-connected learning initiative,national,2021,present,orientation_complete,3,mixed,medium,high,low,https://learnworkecosystemlibrary.com/archive/Raise%20the%20Bar-Postsecondary%20and%20Career%20Pathways.html
evidence-based-literacy-priority,Evidence-based literacy priority,policy_package,Federal literacy priority,national,2025,present,orientation_complete,3,mixed,medium,none,none,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities
